Nombre Asignatura;Nota 1er Corte;Nota 2do Corte;Nota 3er Corte;Nota 4to Corte;Nota 5to Corte
ANÁLISIS DE TEXTOS;4;4;4;;
ANÁLISIS DE TEXTOS;4;4.4;4.4;;
ANÁLISIS DE TEXTOS;4.8;4.7;4.6;;
ANÁLISIS DE TEXTOS;3.5;3.4;3.7;;
ANÁLISIS DE TEXTOS;0;3.2;2.7;;
ANÁLISIS DE TEXTOS;2.4;2.5;3.6;;
ANÁLISIS DE TEXTOS;2.1;2.4;1.5;;
ANÁLISIS DE TEXTOS;2.3;2;3.8;;
ANÁLISIS DE TEXTOS;3.4;3.7;3.5;;
ANÁLISIS DE TEXTOS;3.3;3.6;4;;
ANÁLISIS DE TEXTOS;2.3;3;3.6;;
ANÁLISIS DE TEXTOS;2.2;2.8;3.8;;
ANÁLISIS DE TEXTOS;4.5;3.7;4.5;;
ANÁLISIS DE TEXTOS;4.2;3.2;4;;
ANÁLISIS DE TEXTOS;2.8;3;4;;
ANÁLISIS DE TEXTOS;4.6;3.4;3.6;;
ANÁLISIS DE TEXTOS;2.6;3.2;3.8;;
ANÁLISIS DE TEXTOS;4.2;4.5;4.4;;
ANÁLISIS DE TEXTOS;4.1;3.2;4.5;;
ANÁLISIS DE TEXTOS;4;3.3;4.5;;
ANÁLISIS DE TEXTOS;3.4;4.1;3.7;;
ANÁLISIS DE TEXTOS;2.4;3;3.8;;
ANÁLISIS DE TEXTOS;4.3;4;4.2;;
ANÁLISIS DE TEXTOS;1.8;2.7;1.6;;
ANÁLISIS DE TEXTOS;4;3.2;3.6;;
ANÁLISIS DE TEXTOS;2.5;2.2;3.1;;
ANÁLISIS DE TEXTOS;4.2;3.3;4.1;;
ANÁLISIS DE TEXTOS;2.4;3.7;2.9;;
ANÁLISIS DE TEXTOS;4.3;3.7;3.4;;
ANÁLISIS DE TEXTOS;3.6;2.5;4;;
ANÁLISIS DE TEXTOS;4.1;3.6;4.4;;
ANÁLISIS DE TEXTOS;3.4;3.5;3.3;;
ANÁLISIS DE TEXTOS;3.7;3.9;1.6;;
ANÁLISIS DE TEXTOS;4.7;4.8;4.8;;
ANÁLISIS DE TEXTOS;3.1;3.4;3.8;;
ANÁLISIS DE TEXTOS;4.4;3.1;3.6;;
ANÁLISIS DE TEXTOS;4.7;4;4.1;;
ANÁLISIS DE TEXTOS;1.9;0;2.6;;
ANÁLISIS DE TEXTOS;3.9;3.3;1.9;;
ANÁLISIS DE TEXTOS;2.6;4.3;4.4;;
ANÁLISIS DE TEXTOS;4.9;4.7;3.7;;
ANÁLISIS DE TEXTOS;3.8;3.9;3.8;;
ANÁLISIS DE TEXTOS;3.9;3.2;3.9;;
ANÁLISIS DE TEXTOS;3.9;3.5;4.1;;
ANÁLISIS DE TEXTOS;4.7;4.6;4.6;;
ANÁLISIS DE TEXTOS;4.7;4.3;3.9;;
ANÁLISIS DE TEXTOS;4;2.8;3.8;;
ANÁLISIS DE TEXTOS;3.5;0;2.5;;
ANÁLISIS DE TEXTOS;4.3;3.9;3.9;;
ANÁLISIS DE TEXTOS;3.6;3.2;3.5;;
ANÁLISIS DE TEXTOS;4.7;3;3.4;;
ANÁLISIS DE TEXTOS;3.4;3.4;3.4;;
ANÁLISIS DE TEXTOS;3.5;3.9;3.5;;
ANÁLISIS DE TEXTOS;3.4;3.5;4.2;;
ANÁLISIS DE TEXTOS;1;3.5;4.1;;
ANÁLISIS DE TEXTOS;2.6;2.5;3.1;;
ANÁLISIS DE TEXTOS;3;3.7;3.6;;
ANÁLISIS DE TEXTOS;3;3.3;3.5;;
ANÁLISIS DE TEXTOS;3.1;4.4;3.2;;
ANÁLISIS DE TEXTOS;2.7;1;3.8;;
ANÁLISIS DE TEXTOS;3.9;3.5;3.6;;
ANÁLISIS DE TEXTOS;2;1.5;4;;
ANÁLISIS DE TEXTOS;2.3;3.1;4.6;;
ANÁLISIS DE TEXTOS;3.3;0.6;3.1;;
ANÁLISIS DE TEXTOS;2.4;2.5;3.7;;
ANÁLISIS DE TEXTOS;3.3;1.8;3.5;;
ANÁLISIS DE TEXTOS;4.3;4.2;4.1;;
ANÁLISIS DE TEXTOS;3.1;2.8;2.6;;
ANÁLISIS DE TEXTOS;3.2;1.4;3.7;;
ANÁLISIS DE TEXTOS;3.2;4.2;3.8;;
ANÁLISIS DE TEXTOS;4;3.3;4.6;;
ANÁLISIS DE TEXTOS;3.8;3.9;3.6;;
ANÁLISIS DE TEXTOS;2.9;3.4;3.6;;
ANÁLISIS DE TEXTOS;4.3;4.6;4.7;;
ANÁLISIS DE TEXTOS;1.5;0;0;;
ANÁLISIS DE TEXTOS;3.8;3.6;3.3;;
ANÁLISIS DE TEXTOS;3.6;3.3;3.6;;
ANÁLISIS DE TEXTOS;2.4;2.8;1.9;;
ANÁLISIS DE TEXTOS;4.3;4.5;4.5;;
ANÁLISIS DE TEXTOS;4;2.5;3.5;;
ANÁLISIS DE TEXTOS;3.6;2.8;4.1;;
ANÁLISIS DE TEXTOS;3.8;3.3;4.2;;
ANÁLISIS DE TEXTOS;2.8;4.3;4.5;;
ANÁLISIS DE TEXTOS;3.6;4.5;4;;
ANÁLISIS DE TEXTOS;1.5;2.2;4.2;;
ANÁLISIS DE TEXTOS;2.8;2.5;4.7;;
ANÁLISIS DE TEXTOS;3.9;4.4;3.9;;
ANÁLISIS DE TEXTOS;3.8;3.6;4;;
ANÁLISIS DE TEXTOS;4.3;3.1;4.9;;
ANÁLISIS DE TEXTOS;3.9;4;4.1;;
ANÁLISIS DE TEXTOS;2.4;2.7;4.1;;
ANÁLISIS DE TEXTOS;3;2.5;4;;
ANÁLISIS DE TEXTOS;2;2.5;0;;
ANÁLISIS DE TEXTOS;3;3.4;3.6;;
ANÁLISIS DE TEXTOS;4;2.6;4.2;;
ANÁLISIS DE TEXTOS;4.6;4.5;4;;
ANÁLISIS DE TEXTOS;4.3;4.7;4.6;;
ANÁLISIS DE TEXTOS;2.4;2.6;4.2;;
ANÁLISIS DE TEXTOS;3.3;4.6;3;;
ANÁLISIS DE TEXTOS;4.3;4.6;4.9;;
ANÁLISIS DE TEXTOS;4.1;4.7;4.8;;
ANÁLISIS DE TEXTOS;4.5;2.7;3.6;;
ANÁLISIS DE TEXTOS;4.6;4.6;5;;
ANÁLISIS DE TEXTOS;4.5;4.4;5;;
ANÁLISIS DE TEXTOS;4.5;4.8;4.7;;
ANÁLISIS DE TEXTOS;4.8;4.8;4.7;;
ANÁLISIS DE TEXTOS;4.6;4.6;5;;
ANÁLISIS DE TEXTOS;3;4.3;4.8;;
ANÁLISIS DE TEXTOS;4.4;4.8;4.8;;
ANÁLISIS DE TEXTOS;4.4;5;4.7;;
ANÁLISIS DE TEXTOS;4.2;4.5;4.8;;
ANÁLISIS DE TEXTOS;4.8;3.4;5;;
ANÁLISIS DE TEXTOS;4;4.6;4.6;;
ANÁLISIS DE TEXTOS;4;4.3;4.7;;
ANÁLISIS DE TEXTOS;0;0;4.8;;
ANÁLISIS DE TEXTOS;4.3;4.5;5;;
ANÁLISIS DE TEXTOS;4.1;4.7;4.9;;
ANÁLISIS DE TEXTOS;4.3;4.7;4.4;;
ANÁLISIS DE TEXTOS;3.7;4.1;5;;
ANÁLISIS DE TEXTOS;4.4;5;5;;
ANÁLISIS DE TEXTOS;3;4.6;4.3;;
ANÁLISIS DE TEXTOS;3.4;2.8;3.6;;
ANÁLISIS DE TEXTOS;4.8;4.7;4.8;;
ANÁLISIS DE TEXTOS;4.8;4.6;4.6;;
ANÁLISIS DE TEXTOS;4.1;2.4;5;;
ANÁLISIS DE TEXTOS;4.5;4.8;3.6;;
ANÁLISIS DE TEXTOS;4.6;5;4.8;;
ANÁLISIS DE TEXTOS;4.9;4.5;5;;
ANÁLISIS DE TEXTOS;4.5;5;4.7;;
ANÁLISIS DE TEXTOS;2.4;4.9;3.7;;
ANÁLISIS DE TEXTOS;3.4;2.3;2.8;;
ANÁLISIS DE TEXTOS;4.2;4.9;4.3;;
ANÁLISIS DE TEXTOS;3.8;4.8;3.6;;
ANÁLISIS DE TEXTOS;4.5;4.4;4.5;;
ANÁLISIS DE TEXTOS;4.7;4.1;4.7;;
ANÁLISIS DE TEXTOS;4.8;4.8;4.4;;
ANÁLISIS DE TEXTOS;4.8;4.3;5;;
ANÁLISIS DE TEXTOS;4.7;4.9;4.8;;
ANÁLISIS DE TEXTOS;4.5;4.9;5;;
ANÁLISIS DE TEXTOS;4.7;4.9;5;;
ANÁLISIS DE TEXTOS;3;2;2.4;;
ANÁLISIS DE TEXTOS;4.4;5;4.8;;
ANÁLISIS DE TEXTOS;4.8;3.6;5;;
ANÁLISIS DE TEXTOS;4.7;4.4;5;;
ANÁLISIS DE TEXTOS;4;4.6;5;;
ANÁLISIS DE TEXTOS;4.2;4.8;4.7;;
ANÁLISIS DE TEXTOS;4.5;4.9;4.6;;
ANÁLISIS DE TEXTOS;4.2;5;4.7;;
ANÁLISIS DE TEXTOS;4.7;4.9;4.9;;
ANÁLISIS DE TEXTOS;2.8;4.8;4.8;;
ANÁLISIS DE TEXTOS;4;4.9;4.7;;
ANÁLISIS DE TEXTOS;3.2;3.4;3.4;;
ANÁLISIS DE TEXTOS;4.1;4;4.8;;
ANÁLISIS DE TEXTOS;4.5;3.4;4.9;;
ANÁLISIS DE TEXTOS;4.7;4.6;4.5;;
ANÁLISIS DE TEXTOS;4.8;4.2;4.3;;
ANÁLISIS DE TEXTOS;4.4;4.6;5;;
ANÁLISIS DE TEXTOS;3.7;4.9;3.7;;
ANÁLISIS DE TEXTOS;4.4;4.1;3.5;;
ANÁLISIS DE TEXTOS;4.2;4.9;5;;
ANÁLISIS DE TEXTOS;4.6;4.7;4.9;;
ANÁLISIS DE TEXTOS;2.9;2.7;2;;
ANÁLISIS DE TEXTOS;4.8;3.3;4.2;;
ANÁLISIS DE TEXTOS;4.1;4.8;4.4;;
ANÁLISIS DE TEXTOS;3.6;4.9;4.7;;
ANÁLISIS DE TEXTOS;4.5;4.2;1.8;;
ANÁLISIS DE TEXTOS;4.6;5;4.8;;
ANÁLISIS DE TEXTOS;4.4;4.9;5;;
ANÁLISIS DE TEXTOS;4.9;4.7;4.2;;
ANÁLISIS DE TEXTOS;3.7;2;1;;
ANÁLISIS DE TEXTOS;4.6;4.8;4.4;;
ANÁLISIS DE TEXTOS;4.4;4.1;4.7;;
ANÁLISIS DE TEXTOS;4.9;4.1;4.8;;
ANÁLISIS DE TEXTOS;4.6;4.9;4.7;;
ANÁLISIS DE TEXTOS;3.8;1.5;2.7;;
ANÁLISIS DE TEXTOS;4.7;4.3;4.8;;
ANÁLISIS DE TEXTOS;4.6;4.1;4.9;;
ANÁLISIS ESTADÍSTICO DE DATOS;3.6;3.1;2.9;4;4
ANÁLISIS ESTADÍSTICO DE DATOS;3.7;4.2;3.8;5;4.3
ANÁLISIS ESTADÍSTICO DE DATOS;4.7;4.8;4.4;4.8;3.9
ANÁLISIS ESTADÍSTICO DE DATOS;3.7;2.2;3.9;4.1;3
ANÁLISIS ESTADÍSTICO DE DATOS;3.3;2.5;2.9;4;3.8
ANÁLISIS ESTADÍSTICO DE DATOS;4.1;3.1;3.7;4.4;3.1
ANÁLISIS ESTADÍSTICO DE DATOS;4.9;4.7;3.9;4.1;4.5
ANÁLISIS ESTADÍSTICO DE DATOS;3;4.3;4.4;4.8;4.3
ANÁLISIS ESTADÍSTICO DE DATOS;5;5;4.6;5;5
ANÁLISIS ESTADÍSTICO DE DATOS;5;4.8;5;5;5
ANÁLISIS ESTADÍSTICO DE DATOS;5;5;5;5;5
ANÁLISIS ESTADÍSTICO DE DATOS;4.7;4.8;4.8;5;5
ANÁLISIS ESTADÍSTICO DE DATOS;5;5;4.9;5;5
ANÁLISIS ESTADÍSTICO DE DATOS;4.5;5;5;5;5
ANÁLISIS ESTADÍSTICO DE DATOS;5;5;5;5;5
ANÁLISIS ESTADÍSTICO DE DATOS;5;5;4.9;5;5
ANÁLISIS ESTADÍSTICO DE DATOS;4.9;4.2;4.7;5;5
ANÁLISIS ESTADÍSTICO DE DATOS;4.8;5;4.9;5;5
ANÁLISIS ESTADÍSTICO DE DATOS;4.2;4;4.6;5;5
ANÁLISIS ESTADÍSTICO DE DATOS;5;5;4.8;5;5
ANÁLISIS ESTADÍSTICO DE DATOS;3.8;4.5;5;5;5
ANÁLISIS ESTADÍSTICO DE DATOS;5;4.9;5;5;5
ANÁLISIS NUMÉRICO Y COMPUTACIÓN CIENTÍFICA;3.5;4.4;3.4;4.4;4.4
ANÁLISIS NUMÉRICO Y COMPUTACIÓN CIENTÍFICA;4.3;4.2;3.4;4.5;4.5
ANÁLISIS NUMÉRICO Y COMPUTACIÓN CIENTÍFICA;4.6;4.2;3.1;3.1;3.2
ANÁLISIS NUMÉRICO Y COMPUTACIÓN CIENTÍFICA;4.1;4.5;3.8;4.3;4.3
ANÁLISIS NUMÉRICO Y COMPUTACIÓN CIENTÍFICA;1.7;4.4;3;4.8;4.8
ANÁLISIS NUMÉRICO Y COMPUTACIÓN CIENTÍFICA;4.1;4.5;3.6;4.8;4.8
ANÁLISIS REAL;3.7;3.5;3.5;4.6;3
ANÁLISIS REAL;4.3;3.3;5;5;5
ANÁLISIS REAL;3;3.5;4.2;4.7;3.8
ANÁLISIS REAL;2.8;3.2;4.8;4.6;3
ANÁLISIS REAL;5;4;3.5;4.9;5
ANÁLISIS REAL;4;3.5;4.6;4.8;4.3
ANÁLISIS REAL;2.7;3.3;2.2;4.2;2.8
ANÁLISIS REAL;4.2;3.7;4.3;4.4;3.4
ANÁLISIS REAL;2.6;4.1;5;4.2;4.6
ANÁLISIS REAL;4.7;4.4;5;4.8;4.1
ANÁLISIS REAL;3;3.1;4.5;4.5;3.7
ANÁLISIS REAL;2.5;4;4;4.7;3.2
ANÁLISIS REAL;2.1;4.3;3.6;4.5;2.2
ANÁLISIS REAL;2.2;3.7;3.5;4.2;4.2
ANÁLISIS REAL;3;4.2;2.6;4.5;3.9
ANÁLISIS REAL;2.4;2.7;3.4;4.4;3.2
ANÁLISIS REAL;2.1;4;2;4.8;4
ANÁLISIS REAL;2.2;3.5;4.7;4.5;4.5
APRECIACIÓN DE LA DANZA MODERNA;4.2;4.9;5;;
APRECIACIÓN DEL JAZZ;4.4;5;5;;
APRECIACIÓN DEL JAZZ;4.2;4;4.9;;
APRECIACIÓN DEL JAZZ;4.7;5;5;;
APRECIACIÓN DEL JAZZ;3.6;4.4;4.3;;
APRECIACIÓN DEL JAZZ;4;4.4;4.6;;
APRECIACIÓN DEL JAZZ;5;5;5;;
APRECIACIÓN DEL ROCK;5;4.5;4.9;;
APRECIACIÓN DEL ROCK;4;5;4.8;;
APRECIACIÓN DEL ROCK;5;5;5;;
APRECIACIÓN DEL ROCK;5;5;5;;
APRECIACIÓN DEL ROCK;5;5;5;;
APRECIACIÓN DEL ROCK;5;5;5;;
ARQUITECTURA DEL COMPUTADOR;5;5;5;4.5;4.5
ARQUITECTURA DEL COMPUTADOR;4.7;5;5;4.4;4.4
ARQUITECTURA DEL COMPUTADOR;2.9;3.8;3.8;4.3;4.3
ARQUITECTURA DEL COMPUTADOR;4.5;4.7;5;4.8;4.8
ARQUITECTURA DEL COMPUTADOR;3.3;3.2;3.8;4.3;4.3
ARQUITECTURA DEL COMPUTADOR;3.7;1.6;0;3.7;3.7
ARQUITECTURA DEL COMPUTADOR;4.4;3.4;5;4.3;4.3
ARQUITECTURA DEL COMPUTADOR;4.7;5;5;5;5
ARQUITECTURA DEL COMPUTADOR;5;5;5;4.8;4.8
ARQUITECTURA DEL COMPUTADOR;5;4.7;5;4.8;4.8
ARQUITECTURA DEL COMPUTADOR;4;1.5;3.7;4.8;4.8
ARQUITECTURA DEL COMPUTADOR;4.8;4.8;5;4.8;4.8
ARQUITECTURA DEL COMPUTADOR;4.6;5;5;4.9;4.9
ARQUITECTURA DEL COMPUTADOR;4;4.8;5;4.9;4.9
ARQUITECTURA DEL COMPUTADOR;4.3;5;5;5;5
ARQUITECTURA DEL COMPUTADOR;4.9;4.6;5;4.8;4.8
ARQUITECTURA DEL COMPUTADOR;4.4;5;5;4.6;4.6
ARQUITECTURA DEL COMPUTADOR;4.6;5;5;4.8;4.8
ARQUITECTURA DEL COMPUTADOR;3;4.7;5;4.9;4.9
ARQUITECTURA DEL COMPUTADOR;4.9;4.7;5;4.8;4.8
ARQUITECTURA DEL COMPUTADOR;3.5;3.8;5;4.8;4.8
ARQUITECTURA DEL COMPUTADOR;4;4.5;5;4;4
ARQUITECTURA DEL COMPUTADOR;4.3;4.5;5;4.4;4.4
ARQUITECTURA DEL COMPUTADOR;3.8;5;5;4.4;4.4
ARQUITECTURA DEL COMPUTADOR;4.4;3.9;5;4.4;4.4
ARQUITECTURA DEL COMPUTADOR;4.1;3.5;5;4.2;4.2
ARQUITECTURA DEL COMPUTADOR;4.9;4.6;5;4.8;4.8
ARQUITECTURA DEL COMPUTADOR;3.8;1.2;5;4.8;4.8
ARQUITECTURA DEL COMPUTADOR;4;0;0;0.9;0.9
ARQUITECTURA DEL COMPUTADOR;4.6;5;5;4.9;4.9
ARQUITECTURA DEL COMPUTADOR;3.7;4.4;5;4.6;4.6
ARQUITECTURA DEL COMPUTADOR;3.5;3;5;3.9;3.9
ARQUITECTURA DEL COMPUTADOR;3.9;4.8;4.8;4.6;4.6
ARQUITECTURA DEL COMPUTADOR;4.8;5;5;5;5
ARQUITECTURA DEL COMPUTADOR;3.6;1.5;3.7;4.4;4.4
ARQUITECTURA DEL COMPUTADOR;4.3;5;5;4.8;4.8
ARQUITECTURA DEL COMPUTADOR;3.6;3.6;4.8;4.3;4.3
ARQUITECTURA DEL COMPUTADOR;4.2;4.7;5;4.6;4.6
ARQUITECTURA DEL COMPUTADOR;3.7;3.1;4;3.9;3.9
ARQUITECTURA DEL COMPUTADOR;2.6;2.7;4.1;4.1;4.1
ARQUITECTURA DEL COMPUTADOR;3.4;3.6;0;3.5;3.5
ARQUITECTURA DEL COMPUTADOR;1.8;1.4;3.8;3.7;3.7
ARQUITECTURA DEL COMPUTADOR;4.1;2.6;5;4;4
ARQUITECTURA DEL COMPUTADOR;4.9;4.8;4.7;4.6;4.6
ARQUITECTURA DEL COMPUTADOR;2.4;2.6;4;3.4;3.4
ARQUITECTURA DEL COMPUTADOR;2.6;2.5;3.7;4.1;4.1
ARQUITECTURA DEL COMPUTADOR;4.4;3.7;4.3;4.8;4.8
ARQUITECTURA DEL COMPUTADOR;3.9;3.7;3.8;3.3;3.3
ARQUITECTURA DEL COMPUTADOR;2.8;3.1;3.8;2.6;2.6
ARQUITECTURA DEL COMPUTADOR;2.6;3;4.1;3.8;3.8
ARQUITECTURA DEL COMPUTADOR;2.6;2.7;4.1;3.4;3.4
ARQUITECTURA DEL COMPUTADOR;4;1.9;5;3.6;3.6
ARQUITECTURA DEL COMPUTADOR;4.2;4;4;4.5;4.5
ARQUITECTURA DEL COMPUTADOR;3.9;2.4;4;4.8;4.8
ARQUITECTURA DEL COMPUTADOR;3;2.2;4.2;3.4;3.4
ARQUITECTURA DEL COMPUTADOR;2.5;3.9;4;3.9;3.9
ARQUITECTURA DEL COMPUTADOR;2;4.3;4;3.8;3.8
ARQUITECTURA DEL COMPUTADOR;3.5;3.1;5;4.3;4.3
ARQUITECTURA DEL COMPUTADOR;4.6;4.4;4.1;4.3;4.3
ARQUITECTURA DEL COMPUTADOR;4.2;4.5;5;4.2;4.2
ARQUITECTURA DEL COMPUTADOR;4;4;3.7;2.6;2.6
ARQUITECTURA DEL COMPUTADOR;4.5;4.6;4.2;4.7;4.7
ARQUITECTURA DEL COMPUTADOR;3.2;2.1;0;2;2
ARQUITECTURA DEL COMPUTADOR;3.1;4.3;3.9;4.3;4.3
ARQUITECTURA DEL COMPUTADOR;3.8;3.7;4.7;3.9;3.9
ARQUITECTURA DEL COMPUTADOR;1.8;2.2;3.8;2.8;2.8
ARQUITECTURA DEL COMPUTADOR;3.6;3.5;3.6;4.2;4.2
ARQUITECTURA DEL COMPUTADOR;4.6;4.2;4.7;4.4;4.4
ARQUITECTURA DEL COMPUTADOR;4.5;3.6;5;4.1;4.1
ARQUITECTURA DEL COMPUTADOR;3.9;2.2;4;4.3;4.3
ARQUITECTURA DEL COMPUTADOR;4.2;3.7;5;3.8;3.8
ARQUITECTURA DEL COMPUTADOR;4.6;4.7;4.1;4;4
ARQUITECTURA DEL COMPUTADOR;4.9;3.5;3.4;4.4;4.4
ARQUITECTURA DEL COMPUTADOR;2.4;0.4;3.8;3.1;3.1
ARQUITECTURA DEL COMPUTADOR;4.5;4.4;4.3;4.4;4.4
ARQUITECTURA DEL COMPUTADOR;4.4;4.4;3.8;4.5;4.5
ARQUITECTURA DEL COMPUTADOR;4.1;4.5;4.7;4.4;4.4
ARQUITECTURA DEL COMPUTADOR;4.4;3;3.6;2.6;2.6
ARQUITECTURA DEL COMPUTADOR;4.5;4.4;4.3;4.6;4.6
ARQUITECTURA DEL COMPUTADOR;4.8;4.7;4.9;3.3;3.3
ARQUITECTURA DEL COMPUTADOR;4.9;4.8;5;4.7;4.7
ARQUITECTURA DEL COMPUTADOR;4.5;3;4.1;4.1;4.1
ARQUITECTURA DEL COMPUTADOR;4;3.5;3.6;4.2;4.2
ARQUITECTURA DEL COMPUTADOR;2.6;2.5;3.8;3.6;3.6
ARQUITECTURA DEL COMPUTADOR;2.5;4.1;0;2;2
ARQUITECTURA DEL COMPUTADOR;4.8;4.3;4.7;4.4;4.4
ARQUITECTURA DEL COMPUTADOR;3.2;4.4;4.7;3.8;3.8
ARQUITECTURA DEL COMPUTADOR;5;4.7;5;4.9;4.9
ARQUITECTURA DEL COMPUTADOR;4.5;3;5;4;4
ARQUITECTURA DEL COMPUTADOR;4.7;4.3;4.7;4;4
ARQUITECTURA DEL COMPUTADOR;4.9;4;4.7;4.5;4.5
ARQUITECTURA DEL COMPUTADOR;5;4.9;4.9;5;5
ARQUITECTURA DEL COMPUTADOR;4.8;4.6;4.9;5;5
ARQUITECTURA DEL COMPUTADOR;4.8;4.7;4.7;4;4
ARQUITECTURA DEL COMPUTADOR;3.9;2.7;4.2;4.4;4.4
ARQUITECTURA DEL COMPUTADOR;4.1;4.4;3.8;4.1;4.1
ARQUITECTURA DEL COMPUTADOR;3.7;4.1;4.2;4.5;4.5
ARQUITECTURA DEL COMPUTADOR;4.9;4.4;4.5;4.2;4.8
ARQUITECTURA DEL COMPUTADOR;4.8;3.5;4.5;4.5;5
ARQUITECTURA DEL COMPUTADOR;4.6;4.4;4.5;4.6;4.8
ARQUITECTURA DEL COMPUTADOR;4;4.1;5;4.9;4.9
ARQUITECTURA DEL COMPUTADOR;4.2;4.9;4.9;4.8;5
ARQUITECTURA DEL COMPUTADOR;4.8;4;5;4.8;5
ARQUITECTURA DEL COMPUTADOR;3.4;4.2;4;4.6;4.9
ARQUITECTURA DEL COMPUTADOR;4.4;4.1;4.5;4.7;4.5
ARQUITECTURA DEL COMPUTADOR;4.5;4.9;4.8;4.4;4.7
ARQUITECTURA DEL COMPUTADOR;5;4.2;4.9;4.8;5
ARQUITECTURA DEL COMPUTADOR;4.6;4.4;5;4.9;4.9
ARQUITECTURA DEL COMPUTADOR;4.1;3.7;1;0;3.9
ARQUITECTURA DEL COMPUTADOR;4.6;5;5;5;5
ARQUITECTURA DEL COMPUTADOR;4.6;4.7;4.9;4.8;4.8
ARQUITECTURA DEL COMPUTADOR;4.6;4.2;5;5;4.9
ARQUITECTURA DEL COMPUTADOR;4.6;4.6;4.6;4.6;4.9
ARQUITECTURA DEL COMPUTADOR;5;4.9;5;5;4.9
ARQUITECTURA DEL COMPUTADOR;4.8;4.4;4.8;5;5
ARQUITECTURA DEL COMPUTADOR;4.7;4.7;4.4;4.4;4.8
ARQUITECTURA DEL COMPUTADOR;3.6;3.8;3.8;4.7;4.7
ARQUITECTURA DEL COMPUTADOR;5;3.9;5;5;4.8
ARQUITECTURA DEL COMPUTADOR;3.9;2.5;5;4.7;4.7
ARQUITECTURA DEL COMPUTADOR;4.5;4.5;4.5;4.2;4.7
ARQUITECTURA DEL COMPUTADOR;4.9;4.3;5;5;4.9
ARQUITECTURA DEL COMPUTADOR;3.7;3.7;4.3;4.8;4.7
ARQUITECTURA DEL COMPUTADOR;4.3;4.9;5;4.7;4.6
ARQUITECTURA DEL COMPUTADOR;4.5;4.6;5;4.6;5
ARQUITECTURA DEL COMPUTADOR;3.4;0;0;0;1.7
ARQUITECTURA DEL COMPUTADOR;2.6;2.2;2.5;3.3;4
ARQUITECTURA DEL COMPUTADOR;3.1;3;5;5;4.9
ARQUITECTURA DEL COMPUTADOR;3.5;4.4;2.2;4.4;4.9
ASESINOS EN SERIE: ANALISIS DESDE LAS CIENCIAS HUMANAS;4.8;5;4.8;;
ASESINOS EN SERIE: ANALISIS DESDE LAS CIENCIAS HUMANAS;4.8;4.8;4.8;;
BIBLIA Y REALIDAD SOCIAL;4.5;5;4.8;;
BIBLIA Y REALIDAD SOCIAL;4.3;4.8;5;;
CÁLCULO 1;3.2;3.1;2.7;5;4.4
CÁLCULO 1;1.1;3;2.2;4.5;1.1
CÁLCULO 1;1.9;2.1;2.8;4;1.8
CÁLCULO 1;5;3.9;3.2;4.5;5
CÁLCULO 1;3.8;3;4.4;4.3;3.5
CÁLCULO 1;2.8;3;2.7;4.5;3.5
CÁLCULO 1;3.4;4.5;3.2;5;4.7
CÁLCULO 1;5;3.2;5;4.5;5
CÁLCULO 1;1;1.6;1.3;4;0.9
CÁLCULO 1;4;3.8;5;5;5
CÁLCULO 1;5;3.3;4.7;5;5
CÁLCULO 1;2.8;3;4;5;4.8
CÁLCULO 1;5;4.1;5;5;4.5
CÁLCULO 1;4.2;4;4.9;4.9;5
CÁLCULO 1;2.2;2.7;3.9;5;4.4
CÁLCULO 1;1.2;2;3.1;5;3.6
CÁLCULO 1;0.5;1;1.9;3.8;0
CÁLCULO 1;0.6;2.6;3.2;5;3.7
CÁLCULO 1;2.1;4.4;4.9;4.7;3.7
CÁLCULO 1;5;5;5;5;5
CÁLCULO 1;0.7;1;2.7;4.2;3.4
CÁLCULO 1;2.2;2.7;2.9;3.6;2.3
CÁLCULO 1;2.5;1.9;4.5;3.9;4.5
CÁLCULO 1;3.6;4.9;4.8;4.8;4.8
CÁLCULO 1;3;2.3;4;5;3.9
CÁLCULO 1;0.9;2;4.9;3.8;4.1
CÁLCULO 1;2;3.2;4.5;4.4;4.7
CÁLCULO 1;1.2;3;3.9;4.3;4
CÁLCULO 1;2.2;3;4;5;4
CÁLCULO 1;2.7;3.4;4;4.5;4.8
CÁLCULO 1;3.6;2;4.8;5;5
CÁLCULO 1;3;2;3;4;3.6
CÁLCULO 1;0.1;0;0.1;1.9;0.9
CÁLCULO 1;2.3;2.4;2.3;4;1.5
CÁLCULO 1;2.7;3;3.6;4.7;3.2
CÁLCULO 1;2;1.5;2.7;3.8;3.5
CÁLCULO 1;3.1;4;5;5;4.8
CÁLCULO 1;2.8;2;2.7;4.3;3.4
CÁLCULO 1;1;2.5;3.9;5;3.5
CÁLCULO 1;1.8;0;0;0;0
CÁLCULO 1;3;3.3;4.8;5;4.8
CÁLCULO 1;2.2;2.7;3.4;3.7;3.6
CÁLCULO 1;2.2;3.6;4.5;2.8;3.6
CÁLCULO 1;3.2;4.2;4.9;4.5;3.9
CÁLCULO 1;2.4;2.9;1.5;2.3;2
CÁLCULO 1;2.8;3.1;2.4;2.4;0
CÁLCULO 1;4.7;5;4.9;5;4.1
CÁLCULO 1;3.8;3.7;3.8;4;3.5
CÁLCULO 1;3.9;4.3;2.7;3.2;3.6
CÁLCULO 1;4;3.6;3.5;4.8;4.4
CÁLCULO 1;5;5;5;5;4.8
